object_id,object_name,description,unit,canonical_id,canonical_label,kind,subsystem,control_role,application,schema_slot_id,fdv_role,in_mpc_control,in_u_meas,in_eval,catalog_only
BI-1,310.001JP501_A,Pumpe,,,,unmapped,,,out_of_scope,,Tappevannspumpe drift,0,0,0,0
MSVV-1,310.001JP501_KOM,Pumpe,,,,unmapped,,,out_of_scope,,Tappevannspumpe kommando,0,0,0,0
BO-1,310.001JP501_S,Pumpe,,,,unmapped,,,out_of_scope,,Tappevannspumpe status,0,0,0,0
AI-1,310.001RT402_MV,Temperatur turvann,degrees-celsius,,,unmapped,,,out_of_scope,,Tur tappevann,0,0,0,0
AV-1,310.001RT402_SP,Settpunkt,degrees-celsius,,,unmapped,,,out_of_scope,,Settpunkt tappevann (TR001),0,0,0,0
AO-1,310.001SB501_C,Reguleringsventil,percent,,,unmapped,,,out_of_scope,,Tappevannsventil,0,0,0,0
BI-10,310.010JP001_A,Pumpe,,,,unmapped,,,out_of_scope,,Dykkpumpe pumpekum,0,0,0,0
BI-11,310.010JP001_D,Pumpe,,,,unmapped,,,out_of_scope,,Dykkpumpe pumpekum,0,0,0,0
BI-12,310.010JP002_A,Pumpe,,,,unmapped,,,out_of_scope,,Dykkpumpe pumpekum,0,0,0,0
BI-13,310.010JP002_D,Pumpe,,,,unmapped,,,out_of_scope,,Dykkpumpe pumpekum,0,0,0,0
AI-2,320.001RT901_MV,Utetemperatur,degrees-celsius,outdoor.temp,Utetemperatur (BMS fasade),disturbance,temperature,disturbance,mpc_plant,,Utetemperatur fasade,0,0,1,0
MSVV-2,320.002JP401_2_KOM,Pumpe,,district.tr002.pump.sequencer.command,TR002 residential — District pump sequencer command,control,district_heating,operational_command,mpc_context,,TR002 bolig pumpe,0,0,0,0
AV-2,320.002JP401_2_SP,Settpunkt v/stans,degrees-celsius,district.tr002.pump.stop.setpoint,TR002 residential — District pump stop setpoint,control,district_heating,operational_command,mpc_context,,TR002 bolig pumpe,0,0,0,0
BI-2,320.002JP401_A,Pumpe,,district.tr002.pump.run,TR002 residential — District pump run command,control,district_heating,operational_command,mpc_context,,TR002 bolig pumpe,0,0,0,0
